Address,AreaName,Price ($),lat,lng,AreaCode
"7393 Wellington Rd 51 . Ariss, ON",Cobden,699000,43.596718,-80.34066,393
"152 MARR Drive Elora, ON",Penetanguishene,399900,43.693314,-80.437492,489
"17 Dan Sheehan Lane Clarington, ON",Thorncliffe Park,550000,43.931091,-78.707405,344
"328 Wicklow Beach Rd Alnwick Haldimand Township, ON",Flamborough,629000,43.976543,-77.962921,611
"WALKER LAKE DR WALKER LAKE DR Lake Of Bays, ON",Port Sydney,69900,45.378361,-79.092339,408
"PART LOT 29 CONCESSION 2 WGR West Grey, ON",Courtland,25900,44.156307,-80.846382,446
"473108 SOUTHGATE SIDEROAD 47 Southgate, ON",Southampton,289000,44.1567,-80.732941,457
"397 HALEY ROAD Renfrew, ON",Wynford-Concorde,24900,45.276588,-77.091713,364
"1733 ALSACE RD Nipissing, ON",Brantford,159900,46.024185,-79.497559,447
"50 PRICES POINT Road Huntsville, ON",Huntsville,450000,45.206451,-79.111061,409
"0 WINGFIELD Road Hastings, ON",Parkwood Gardens,28000,44.272854,-77.646339,512
"41742 HYDRO LINE RD Central Huron, ON",Elmwood,425000,43.59882,-81.435379,675
"31 CEDAR Street Augusta, ON",Lambton Shores,222500,44.649788,-75.618874,529
"N/A MONEYMORE RD N/A MONEYMORE RD Tweed, ON",Newton,148000,44.382591,-77.254784,505
"134 Hawkins Bay Lane Tweed, ON",Kimberley,139900,44.536251,-77.352135,488
"1311 COUNTY 2 ROAD Maitland, ON",Lambton Shores,975000,44.645828,-75.6007,529
"36 -38 D&#39;ARCY STREET Perth, ON",Ilderton,159900,43.416267,-81.033615,801
"17638 HIGHWAY 7 HIGHWAY Perth, ON",Markland Wood,259900,43.485992,-80.839714,208
"38 Cedar St Maitland, ON",Lambton Shores,306000,44.651829,-75.619156,529
"17912 B HIGHWAY 7 HIGHWAY Perth, ON",Markland Wood,79900,43.485992,-80.839714,208
"112 James St Village Of Tweed, ON",Tweed,125900,44.477924,-77.307663,477
"1311 COUNTY ROAD 2 MAITLAND, ON",Lambton Shores,975000,44.645828,-75.6007,529
"684 GOSPEL RD Stirling-Rawdon, ON",Donevan,219000,44.372665,-77.675331,759
"225 VICTORIA Street South Tweed, ON",Industrial Sector E and McAnulty,579900,44.470711,-77.308083,544
"55 Cedar St Maitland, ON",Westport,229900,44.654339,-75.622513,533
"14 CEDAR Street MAITLAND, ON",Lambton Shores,269888,44.647224,-75.615463,529
"1749 Wenona Lake Rd Haliburton, ON",Ryckmans,699000,45.036106,-78.347908,562
"LOT 60 West Shore Dr Haliburton, ON",Alpine,235000,45.184662,-78.627411,617
"5197 County Road 21 Haliburton, ON",Sandford,429000,45.047398,-78.530403,510
